first_name,last_name,birth_date,from_date,to_date,title
Parke,Unno,1/22/1965,7/1/1996,1/1/9999,Engineer
Shin,Fujisaki,1/15/1965,2/23/1988,1/1/9999,Technique Leader
Ferdinand,Rosiles,1/18/1965,7/8/1997,1/1/9999,Senior Staff
Younwoo,Luders,1/6/1965,12/8/1998,1/1/9999,Engineer
Chiradeep,Callaway,1/14/1965,7/30/1999,1/1/9999,Staff
Yongdong,Pollock,1/9/1965,3/17/1998,1/1/9999,Staff
Udi,Merks,1/4/1965,8/15/1997,1/1/9999,Engineer
Pasqua,Taubman,1/30/1965,6/23/1986,1/1/9999,Senior Staff
Kristine,Clemencon,1/28/1965,6/1/1993,1/1/9999,Senior Staff
Ronghao,Segond,1/27/1965,9/13/1993,1/1/9999,Senior Engineer
Jaewon,Thummel,2/1/1965,9/14/1985,1/1/9999,Senior Staff
Oldrich,Woycyznski,1/9/1965,5/15/1985,1/1/9999,Engineer
Zhenhua,Lorys,1/1/1965,8/21/1995,1/1/9999,Engineer
JoAnne,Anido,1/15/1965,9/15/1995,1/1/9999,Staff
Keung,Neiman,1/16/1965,4/13/1997,1/1/9999,Staff
Quingbo,Coombs,1/7/1965,1/17/1999,1/1/9999,Senior Engineer
Khun,Janetzko,1/16/1965,9/13/1989,1/1/9999,Assistant Engineer
Yongmin,Roccetti,1/24/1965,12/10/1986,1/1/9999,Senior Staff
Conor,Thorensen,1/26/1965,2/24/1988,1/1/9999,Senior Engineer
Goo,Bresenham,1/9/1965,1/31/1999,1/1/9999,Senior Staff
Lena,Cannane,1/31/1965,1/28/2000,1/1/9999,Engineer
Jungsoon,Birsak,1/28/1965,4/3/1985,1/1/9999,Technique Leader
Vasiliy,Ratnaker,1/10/1965,8/9/1995,1/1/9999,Engineer
Vojin,Coombs,1/22/1965,7/23/1995,1/1/9999,Senior Staff
Mang,Hedayat,1/20/1965,5/22/1995,1/1/9999,Engineer
Otmar,Birjandi,1/24/1965,3/23/1985,1/1/9999,Engineer
Tetsushi,Theuretzbacher,1/26/1965,2/1/1990,1/1/9999,Senior Staff
Conal,Yetto,1/7/1965,1/12/1991,1/1/9999,Senior Staff
Along,Erol,1/15/1965,10/16/1992,1/1/9999,Senior Staff
Mansur,Comyn,1/13/1965,8/31/1999,1/1/9999,Engineer
Guther,Rothenberg,1/27/1965,8/8/1991,1/1/9999,Senior Staff
Pranjal,Rossi,1/20/1965,7/7/1998,1/1/9999,Staff
Aiman,Mawatari,1/27/1965,5/1/1988,1/1/9999,Engineer
Xiadong,Shinomoto,1/27/1965,5/24/1997,1/1/9999,Engineer
Alexius,Ibel,1/26/1965,4/24/1988,1/1/9999,Engineer
Arnould,Weedman,1/23/1965,7/28/1989,1/1/9999,Senior Staff
Vivian,Guerreiro,1/24/1965,7/8/1991,1/1/9999,Assistant Engineer
Renny,Bale,1/1/1965,11/22/1989,1/1/9999,Engineer
Bader,Denis,1/15/1965,10/6/1997,1/1/9999,Engineer
Koichi,Assaf,1/9/1965,5/26/1990,1/1/9999,Engineer
Fumiko,Chepyzhov,1/24/1965,1/28/1988,1/1/9999,Senior Staff
Yonghoan,Trogemann,1/29/1965,9/23/1988,1/1/9999,Assistant Engineer
Rajmohan,DasSarma,1/3/1965,9/14/1985,1/1/9999,Senior Staff
Kazuhisa,Melter,1/19/1965,7/16/1987,1/1/9999,Senior Staff
Lucien,Schwartzburd,1/4/1965,8/25/1988,1/1/9999,Engineer
Yahiko,Hebden,1/1/1965,10/3/1996,1/1/9999,Engineer
Gunilla,Milicic,1/13/1965,1/9/1998,1/1/9999,Staff
Lobel,Stafford,1/27/1965,11/29/1998,1/1/9999,Staff
Jamaludin,Nilsson,1/4/1965,1/15/1987,1/1/9999,Senior Staff
Dmitry,Msuda,1/29/1965,10/22/1988,1/1/9999,Senior Staff
Aria,Kilgore,1/4/1965,4/11/1992,1/1/9999,Engineer
Visit,McFarlan,1/24/1965,10/22/1987,1/1/9999,Engineer
Zhanqiu,Farrow,1/6/1965,1/10/1999,1/1/9999,Assistant Engineer
Ranga,Merro,1/18/1965,5/11/1996,1/1/9999,Assistant Engineer
Mang,Atchley,1/26/1965,6/7/1995,1/1/9999,Senior Staff
Claude,Candan,1/22/1965,8/4/1993,1/1/9999,Senior Staff
Anyuan,Kropatsch,1/11/1965,9/5/1986,1/1/9999,Senior Staff
Huei,Hutter,1/20/1965,1/28/1993,1/1/9999,Engineer
Jaques,Kabayashi,1/19/1965,3/13/1992,1/1/9999,Senior Engineer
Richara,Walston,1/11/1965,8/27/1996,1/1/9999,Senior Engineer
Magdalena,Penn,2/1/1965,1/4/1997,1/1/9999,Engineer
Arie,Coullard,2/1/1965,3/28/2000,1/1/9999,Senior Staff
Kristina,Neimat,1/13/1965,4/18/1988,1/1/9999,Technique Leader
Ramzi,Cronau,1/26/1965,9/3/1999,1/1/9999,Technique Leader
Aran,Cesareni,1/1/1965,11/20/2001,1/1/9999,Senior Staff
Hitofumi,Zaccaria,1/27/1965,11/22/1988,1/1/9999,Engineer
Heping,Matheson,1/13/1965,6/24/1988,1/1/9999,Engineer
Yishai,Cappelli,1/28/1965,1/30/1997,1/1/9999,Staff
Kristin,Guerreiro,1/18/1965,8/23/1989,1/1/9999,Engineer
Rasiah,Koblick,1/22/1965,8/21/1991,1/1/9999,Senior Staff
Alair,Lyonns,1/8/1965,7/12/1997,1/1/9999,Engineer
Gianluca,Ramaiah,1/13/1965,11/29/1993,1/1/9999,Engineer
Kristinn,Loncour,1/11/1965,2/8/1995,1/1/9999,Engineer
Nobuyoshi,Hegner,1/19/1965,9/7/1994,1/1/9999,Senior Staff
Kokou,Garrabrants,1/13/1965,11/5/1997,1/1/9999,Senior Engineer
Mohan,Tasistro,1/18/1965,2/10/1996,1/1/9999,Engineer
Arumugam,Vecchio,1/7/1965,8/14/1985,1/1/9999,Engineer
Jeanna,Chinen,1/9/1965,1/1/1989,1/1/9999,Engineer
Haldon,Janetzko,1/25/1965,9/11/1990,1/1/9999,Senior Staff
Avishai,Hegner,1/31/1965,5/8/1993,1/1/9999,Senior Staff
Sumali,Huttel,1/12/1965,9/12/1989,1/1/9999,Senior Staff
Ziya,Kadhim,1/16/1965,6/24/1999,1/1/9999,Senior Engineer
Florina,Assaf,1/29/1965,5/18/1996,1/1/9999,Staff
Shugo,Reeken,1/30/1965,6/21/1999,1/1/9999,Staff
Xiaobin,Christianini,1/13/1965,12/25/1985,1/1/9999,Senior Staff
Carrsten,Francisci,1/18/1965,6/16/1991,1/1/9999,Senior Engineer
Dhritiman,Anily,1/24/1965,12/16/1998,1/1/9999,Staff
Mahendra,Motley,1/30/1965,9/28/1985,1/1/9999,Senior Staff
Hisao,Peral,1/19/1965,10/3/1990,1/1/9999,Engineer
Heejo,Aamodt,1/18/1965,4/22/1992,1/1/9999,Engineer
Abdelaziz,Sury,1/14/1965,1/31/1991,1/1/9999,Senior Staff
Mori,Homond,1/22/1965,5/10/1994,1/1/9999,Senior Staff
Mantis,Millington,1/14/1965,3/18/1991,1/1/9999,Senior Staff
Adin,Templeman,1/3/1965,8/12/1999,1/1/9999,Engineer
Djenana,Albarhamtoshy,1/16/1965,7/16/1988,1/1/9999,Senior Staff
Visit,Swen,1/7/1965,10/2/1995,1/1/9999,Senior Staff
Susanne,Peternell,1/3/1965,7/27/1994,1/1/9999,Engineer
Beshir,Hellwagner,1/3/1965,2/3/1998,1/1/9999,Engineer
Heping,Halloran,1/31/1965,4/8/1992,1/1/9999,Assistant Engineer
Pranjal,Zyda,1/31/1965,7/3/1991,1/1/9999,Senior Staff
Werner,Lodder,1/29/1965,6/17/1992,1/1/9999,Senior Staff
Parviz,Litzler,1/7/1965,8/8/1992,1/1/9999,Engineer
Kwun,Reeker,1/1/1965,7/29/1999,1/1/9999,Technique Leader
Diederik,Matzov,1/29/1965,3/8/1995,1/1/9999,Engineer
Mohamadou,Stafford,1/8/1965,9/12/1995,1/1/9999,Engineer
Haldun,Lienhardt,1/1/1965,1/29/1987,1/1/9999,Senior Staff
Sachem,Cromarty,1/15/1965,8/20/1990,1/1/9999,Assistant Engineer
Naftali,Schurmann,1/14/1965,12/2/1992,1/1/9999,Engineer
Nevio,Thisen,2/1/1965,3/25/1988,1/1/9999,Senior Staff
Lijie,Garrabrants,1/31/1965,10/26/1988,1/1/9999,Senior Staff
Babette,Anandan,1/31/1965,11/22/1986,1/1/9999,Senior Staff
Siamak,Luiz,1/23/1965,2/11/1987,1/1/9999,Senior Engineer
Fabrizio,Chleq,1/23/1965,7/31/1999,1/1/9999,Senior Engineer
Shahab,Crooks,1/13/1965,3/18/1992,1/1/9999,Senior Staff
Ramya,Walston,1/26/1965,2/3/1989,1/1/9999,Senior Staff
Hisao,Ghemri,1/9/1965,11/14/1985,1/1/9999,Senior Staff
Randi,Samarati,1/24/1965,10/20/1992,1/1/9999,Senior Staff
Shai,Stellhorn,1/2/1965,5/21/1992,1/1/9999,Senior Engineer
Oksana,Baek,1/19/1965,7/20/1989,1/1/9999,Senior Staff
Jamaludin,Kandlur,2/1/1965,6/19/1992,1/1/9999,Senior Engineer
Gor,Delgrande,1/11/1965,6/18/2002,1/1/9999,Engineer
Moty,Winter,1/15/1965,4/28/1991,1/1/9999,Technique Leader
Bangqing,Schach,1/21/1965,3/22/1988,1/1/9999,Senior Staff
Menkae,Etalle,1/31/1965,5/21/1997,1/1/9999,Assistant Engineer
Stamatina,Auyong,2/1/1965,7/5/1988,1/1/9999,Senior Staff
Mani,Cannata,1/2/1965,6/21/1989,1/1/9999,Senior Staff
Arco,Walston,1/17/1965,8/16/1999,1/1/9999,Engineer
Hatem,Fadgyas,1/11/1965,11/13/1991,1/1/9999,Senior Engineer
Godehard,Chorvat,1/26/1965,4/10/1988,1/1/9999,Senior Staff
Chuanti,Luff,1/8/1965,9/21/1994,1/1/9999,Senior Staff
Akemi,Fujisaki,1/27/1965,11/13/2001,1/1/9999,Senior Engineer
Kirk,Quaggetto,1/10/1965,6/30/1987,1/1/9999,Engineer
Dinah,Denos,1/9/1965,9/21/1992,1/1/9999,Senior Staff
Susumu,Camurati,1/14/1965,12/15/1991,1/1/9999,Senior Staff
Alejandra,Khasidashvili,1/3/1965,7/30/1994,1/1/9999,Staff
Anneli,Perl,1/15/1965,9/8/1992,1/1/9999,Senior Staff
Fan,Kakkad,1/1/1965,2/25/1988,1/1/9999,Senior Staff
Genta,Terekhov,1/16/1965,7/21/1998,1/1/9999,Assistant Engineer
Waiman,Genin,1/12/1965,10/30/1988,1/1/9999,Engineer
Sudharsan,DeMori,1/2/1965,3/30/1992,1/1/9999,Engineer
Ortrun,Schmiedel,1/16/1965,7/18/1997,1/1/9999,Engineer
Gully,Perko,1/9/1965,7/7/1999,1/1/9999,Engineer
Zvonko,Murthy,1/13/1965,1/7/1992,1/1/9999,Senior Staff
Morris,Saoudi,1/5/1965,11/22/1991,1/1/9999,Engineer
Kerhong,Matzke,1/19/1965,11/14/1986,1/1/9999,Engineer
Isaac,Koshino,1/25/1965,9/28/1995,1/1/9999,Senior Engineer
Giordano,Pietrzykowski,1/17/1965,3/26/1987,1/1/9999,Senior Staff
Hugh,Jonsson,1/3/1965,7/6/1991,1/1/9999,Senior Staff
Zongyan,Gips,1/2/1965,5/31/1997,1/1/9999,Technique Leader
Ewing,DiGiano,1/21/1965,2/1/2000,1/1/9999,Technique Leader
Sasan,Thimonier,1/30/1965,8/21/1996,1/1/9999,Senior Staff
Yefim,Marwedel,1/23/1965,3/30/1993,1/1/9999,Senior Staff
Jessie,Nooteboom,1/10/1965,12/13/2000,1/1/9999,Staff
Susuma,Bergere,1/22/1965,2/25/1996,1/1/9999,Senior Staff
Arve,Worfolk,1/9/1965,4/1/1985,1/1/9999,Senior Staff
Gretta,Huttel,1/3/1965,10/8/1990,1/1/9999,Senior Engineer
Hein,Lichtner,1/22/1965,5/2/1998,1/1/9999,Senior Staff
Franziska,Maginnis,1/27/1965,2/17/1986,1/1/9999,Engineer
Susanne,Mandelberg,1/22/1965,11/2/1990,1/1/9999,Engineer
Yahiko,Awdeh,1/26/1965,8/5/1998,1/1/9999,Engineer
Moni,Kornyak,1/23/1965,9/26/1991,1/1/9999,Technique Leader
Leszek,Spinelli,1/5/1965,12/10/1998,1/1/9999,Staff
Mary,Setiz,1/4/1965,1/13/1989,1/1/9999,Senior Engineer
Stabislas,Broder,1/21/1965,7/16/1996,1/1/9999,Engineer
Kien,Barreiro,1/27/1965,10/24/2000,1/1/9999,Staff
Youjian,Yetto,1/31/1965,12/7/1994,1/1/9999,Senior Staff
Limsoon,Skafidas,1/31/1965,8/10/1999,1/1/9999,Senior Staff
Aiichiro,Kusalik,1/6/1965,10/4/1990,1/1/9999,Engineer
Yucai,Fabrizio,1/7/1965,10/6/1999,1/1/9999,Staff
Guadalupe,Pfau,1/12/1965,3/22/1993,1/1/9999,Senior Staff
Tzu,Sichman,1/21/1965,11/17/1987,1/1/9999,Engineer
Jacqueline,Akaboshi,1/20/1965,12/6/1997,1/1/9999,Engineer
Zhiguo,Ariola,1/13/1965,9/7/1994,1/1/9999,Senior Staff
Kellie,Schrooten,1/25/1965,1/17/1991,1/1/9999,Assistant Engineer
Shuji,Barbanera,1/4/1965,8/10/1987,1/1/9999,Senior Staff
Baziley,Falck,1/15/1965,2/18/1995,1/1/9999,Assistant Engineer
Chinya,Kamble,1/16/1965,5/31/1992,1/1/9999,Senior Staff
Remko,Vieth,1/7/1965,11/22/1990,1/1/9999,Senior Staff
Manu,Rothenberg,1/9/1965,12/6/1988,1/1/9999,Engineer
Shen,Flanders,1/11/1965,7/3/1989,1/1/9999,Senior Staff
Larisa,Lukaszewicz,1/27/1965,10/30/1996,1/1/9999,Senior Staff
Phillip,Schade,1/23/1965,3/3/1989,1/1/9999,Engineer
Pranjal,Juneja,1/30/1965,3/21/1985,1/1/9999,Senior Engineer
Xinyu,Edelhoff,1/5/1965,10/26/1997,1/1/9999,Senior Engineer
Krassimir,Garnier,1/19/1965,1/26/1998,1/1/9999,Senior Staff
Dante,Covnot,1/9/1965,5/28/1989,1/1/9999,Senior Staff
Nimmagadda,Baak,1/17/1965,10/30/1987,1/1/9999,Assistant Engineer
Shalesh,Lovengreen,1/28/1965,9/29/1990,1/1/9999,Senior Staff
Lihong,Zeilberger,1/18/1965,4/28/1996,1/1/9999,Staff
Gino,Lagarias,1/19/1965,6/22/1997,1/1/9999,Engineer
Saniya,Stenning,1/25/1965,12/10/1986,1/1/9999,Senior Staff
Werner,Ranze,1/31/1965,6/5/1998,1/1/9999,Staff
Domenico,Ratnaker,1/8/1965,3/24/1985,1/1/9999,Engineer
Gao,Ranze,1/12/1965,11/24/1994,1/1/9999,Engineer
Anwar,Bain,1/7/1965,1/22/1989,1/1/9999,Engineer
Leni,Henders,1/11/1965,11/19/1993,1/1/9999,Senior Staff
Sailaja,Holburn,1/17/1965,3/4/1991,1/1/9999,Senior Staff
Claudi,Stanfel,1/16/1965,1/7/1996,1/1/9999,Engineer
Yongmao,Fontan,1/22/1965,7/26/1993,1/1/9999,Engineer
Tru,Danecki,1/10/1965,3/31/1997,1/1/9999,Staff
Pranas,Narwekar,1/4/1965,9/26/1985,1/1/9999,Engineer
Armond,Perly,2/1/1965,9/14/1989,1/1/9999,Engineer
Xiaoqiang,Cardazo,1/25/1965,5/28/1993,1/1/9999,Senior Staff
Rayond,Klassen,1/15/1965,9/11/1993,1/1/9999,Senior Staff
Peer,Molberg,1/29/1965,11/17/1996,1/1/9999,Engineer
Ingmar,Kohling,1/27/1965,4/25/1995,1/1/9999,Engineer
Shirish,Vickson,1/12/1965,10/24/1989,1/1/9999,Engineer
Arfst,Chepyzhov,1/28/1965,2/6/1989,1/1/9999,Engineer
Gopalakrishnan,Angel,2/1/1965,7/5/1997,1/1/9999,Engineer
Dinkar,Hoppenstand,1/12/1965,5/4/1994,1/1/9999,Engineer
Flemming,Kroha,1/16/1965,1/23/1995,1/1/9999,Staff
Munehiro,Manders,1/15/1965,5/18/1987,1/1/9999,Senior Staff
Sven,Speer,1/8/1965,7/8/1999,1/1/9999,Staff
Pramod,Loncour,1/30/1965,3/31/1987,1/1/9999,Senior Staff
Sahrah,Angiulli,1/24/1965,7/31/1986,1/1/9999,Senior Staff
Aiichiro,Cromarty,1/22/1965,6/10/1995,1/1/9999,Engineer
Byong,Gustavson,1/16/1965,3/12/1985,1/1/9999,Senior Engineer
Xiaocheng,Suermann,1/26/1965,12/15/1997,1/1/9999,Engineer
Ashish,Vidya,1/29/1965,6/16/1989,1/1/9999,Engineer
Lena,Lenart,1/22/1965,12/25/1990,1/1/9999,Senior Staff
Otmar,Engberts,1/11/1965,8/16/1993,1/1/9999,Senior Staff
Masami,Puoti,1/12/1965,1/21/2000,1/1/9999,Senior Engineer
Yuchang,Eldridge,1/21/1965,8/1/1986,1/1/9999,Senior Staff
Yannik,Spelt,1/5/1965,9/22/1992,1/1/9999,Technique Leader
Abdelwaheb,Denis,1/10/1965,9/10/1993,1/1/9999,Engineer
Horward,Marzano,1/14/1965,4/11/1996,1/1/9999,Staff
Jianhao,Molenaar,1/21/1965,10/22/1987,1/1/9999,Engineer
Panayotis,Lukaszewicz,1/2/1965,6/6/1989,1/1/9999,Engineer
Shay,Servieres,2/1/1965,8/6/1998,1/1/9999,Senior Staff
Mokhtar,Poupard,1/26/1965,2/2/1992,1/1/9999,Technique Leader
Jiong,Garnham,1/24/1965,1/2/1990,1/1/9999,Senior Staff
Unal,DuBourdieux,1/16/1965,3/13/1996,1/1/9999,Engineer
Kristine,Bierman,1/18/1965,5/13/1988,1/1/9999,Technique Leader
Aemilian,Kusalik,1/30/1965,5/27/1987,1/1/9999,Engineer
Marsal,Acton,1/6/1965,8/2/1995,1/1/9999,Staff
Subhrajyoti,Denna,1/29/1965,7/25/1996,1/1/9999,Staff
Moie,Zastre,1/22/1965,10/11/1991,1/1/9999,Technique Leader
Susanna,Reeken,1/16/1965,3/16/1998,1/1/9999,Senior Staff
Demos,Asser,1/17/1965,11/4/1985,1/1/9999,Senior Engineer
Reinhard,Slaats,1/9/1965,6/8/1994,1/1/9999,Engineer
Poorav,Laventhal,1/23/1965,8/16/1997,1/1/9999,Staff
Sibyl,Rabehasaina,1/6/1965,2/23/1998,1/1/9999,Senior Staff
Poornachandra,Zielinski,1/8/1965,2/13/1996,1/1/9999,Senior Staff
Yuping,Babb,1/23/1965,1/31/1995,1/1/9999,Senior Staff
Shigenori,Deville,1/25/1965,12/24/1992,1/1/9999,Technique Leader
Nahid,Gyimothy,1/7/1965,8/18/1995,1/1/9999,Staff
Perla,Orlowska,1/17/1965,10/13/1998,1/1/9999,Senior Engineer
Tesuya,dAstous,1/23/1965,11/29/1988,1/1/9999,Engineer
Saddek,Farris,1/13/1965,11/6/1990,1/1/9999,Senior Staff
Abdulah,Pocchiola,1/28/1965,8/28/1996,1/1/9999,Engineer
Djenana,Marrevee,1/6/1965,2/6/1994,1/1/9999,Engineer
Sangeeta,Kalefeld,1/17/1965,6/6/1990,1/1/9999,Senior Staff
Stein,Uludag,1/21/1965,1/30/1988,1/1/9999,Senior Staff
Miyeon,Billingsley,1/20/1965,12/5/1992,1/1/9999,Senior Engineer
Matt,Chvatal,1/20/1965,11/9/1994,1/1/9999,Senior Engineer
Valdiodio,Schlumberger,1/15/1965,8/7/1993,1/1/9999,Assistant Engineer
Badri,Schapire,2/1/1965,1/19/1998,1/1/9999,Assistant Engineer
Kazuhiko,Kushner,1/22/1965,8/1/1995,1/1/9999,Senior Engineer
Annemarie,Zallocco,1/10/1965,12/1/1996,1/1/9999,Engineer
Limsoon,Erol,1/10/1965,12/31/1997,1/1/9999,Senior Engineer
Gopalakrishnan,Suermann,1/28/1965,4/30/1991,1/1/9999,Engineer
Leaf,Awdeh,1/7/1965,10/2/1992,1/1/9999,Senior Staff
Hidefumi,Moehrke,1/20/1965,3/4/1998,1/1/9999,Staff
Chiranjit,Dredge,2/1/1965,9/5/1999,1/1/9999,Technique Leader
Annemarie,Bressoud,1/2/1965,6/23/1998,1/1/9999,Engineer
Perry,Chachaty,1/29/1965,7/22/1985,1/1/9999,Engineer
TRUE,Shobatake,1/24/1965,5/17/1996,1/1/9999,Senior Staff
George,Miake,1/5/1965,1/2/1988,1/1/9999,Senior Staff
Remmert,Quaggetto,1/14/1965,4/28/1992,1/1/9999,Senior Staff
Masasuke,Genin,1/13/1965,6/25/1994,1/1/9999,Assistant Engineer
Ipke,Kieras,1/8/1965,12/18/1995,1/1/9999,Engineer
Ramalingam,Remmele,1/26/1965,9/3/1999,1/1/9999,Senior Engineer
Mooi,Cooman,1/19/1965,6/7/1989,1/1/9999,Engineer
Giordano,Gini,1/28/1965,8/14/1993,1/1/9999,Technique Leader
Herbert,Erva,1/7/1965,9/6/1986,1/1/9999,Engineer
Gio,Murtha,1/12/1965,11/11/1986,1/1/9999,Engineer
Macha,Schnabel,1/11/1965,5/11/1988,1/1/9999,Engineer
Mikhail,Rousseau,1/30/1965,11/30/1998,1/1/9999,Staff
Garnik,Luce,1/23/1965,9/15/1998,1/1/9999,Staff
Francesca,Azuma,1/26/1965,6/8/1996,1/1/9999,Senior Staff
IEEE,Kroll,1/18/1965,2/17/1998,1/1/9999,Engineer
Yuriy,Plump,1/9/1965,9/8/1988,1/1/9999,Senior Staff
Bilhanan,Brendel,1/3/1965,12/23/1990,1/1/9999,Senior Staff
Nahla,Smailagic,1/11/1965,2/12/1993,1/1/9999,Engineer
Berry,Yurek,1/8/1965,8/16/1995,1/1/9999,Senior Staff
Fabrizio,Lichtman,1/21/1965,2/9/1987,1/1/9999,Engineer
Harjit,Terekhov,1/27/1965,10/19/1995,1/1/9999,Staff
Pohua,Tasistro,1/3/1965,11/4/1994,1/1/9999,Technique Leader
Paloma,Henseler,1/15/1965,6/11/1991,1/1/9999,Engineer
Gilbert,Kilgour,1/11/1965,4/5/1996,1/1/9999,Staff
Moni,Schach,1/3/1965,7/4/1986,1/1/9999,Senior Staff
Ewing,Millington,1/23/1965,9/28/1999,1/1/9999,Engineer
Jamaludin,Fordan,1/19/1965,2/6/1992,1/1/9999,Engineer
Tadahiro,Backhouse,1/7/1965,10/2/1991,1/1/9999,Engineer
Bezalel,Radivojevic,1/31/1965,7/2/1988,1/1/9999,Senior Staff
Renny,Alameldin,1/14/1965,9/28/1997,1/1/9999,Assistant Engineer
Yinghua,Lorho,1/31/1965,8/9/1991,1/1/9999,Senior Staff
Kolar,Puppo,1/15/1965,4/25/1990,1/1/9999,Engineer
Shahar,Negoita,1/17/1965,3/19/1994,1/1/9999,Senior Staff
Dietrich,Crabtree,1/14/1965,5/24/1986,1/1/9999,Senior Staff
Takushi,Brattka,1/2/1965,6/3/1999,1/1/9999,Staff
Trygve,Siksek,1/22/1965,11/9/1995,1/1/9999,Staff
Nectarios,Pramanik,1/28/1965,11/18/1999,1/1/9999,Assistant Engineer
Chandrasekaran,Pearson,1/7/1965,4/14/1995,1/1/9999,Staff
Goetz,Alvarado,1/28/1965,12/25/1988,1/1/9999,Engineer
Etsuo,Anandan,1/29/1965,12/13/1989,1/1/9999,Senior Staff
Nitsan,Rouquie,1/11/1965,8/1/1988,1/1/9999,Engineer
Barry,Ramsak,1/23/1965,9/7/1990,1/1/9999,Engineer
Tesuya,Bugrara,1/14/1965,2/13/1993,1/1/9999,Assistant Engineer
Alselm,Gargeya,1/20/1965,12/25/1987,1/1/9999,Senior Engineer
Khalid,Lenart,1/6/1965,12/24/1995,1/1/9999,Engineer
Fay,Sundgren,1/16/1965,7/7/1990,1/1/9999,Senior Staff
Etsuo,Usery,1/12/1965,3/2/1995,1/1/9999,Engineer
Cedric,Riefers,1/17/1965,9/8/1994,1/1/9999,Engineer
Zissis,Lodder,1/14/1965,5/27/2000,1/1/9999,Engineer
Kotesh,Chachaty,1/20/1965,3/25/1991,1/1/9999,Engineer
Baziley,Ballarin,1/30/1965,7/28/1987,1/1/9999,Senior Staff
Kellie,Heydon,1/1/1965,11/11/1985,1/1/9999,Engineer
Luerbio,Terkki,1/7/1965,5/14/1991,1/1/9999,Senior Staff
Foong,Aamodt,1/31/1965,6/28/1986,1/1/9999,Senior Engineer
Irena,Dratva,1/17/1965,9/7/1991,1/1/9999,Senior Staff
Sverrir,Gyimothy,1/21/1965,7/30/1995,1/1/9999,Senior Staff
Gro,Prochazka,1/6/1965,10/16/1992,1/1/9999,Engineer
Anneli,Joslin,1/9/1965,4/12/1987,1/1/9999,Senior Engineer
Gio,Heuser,1/5/1965,6/28/1992,1/1/9999,Senior Staff
Henk,Anger,2/1/1965,1/19/1993,1/1/9999,Senior Staff
Sampalli,Bergere,1/17/1965,4/8/1994,1/1/9999,Senior Engineer
Jayesh,Spinelli,1/3/1965,1/16/1999,1/1/9999,Senior Engineer
IEEE,Raczkowsky,1/31/1965,7/24/1996,1/1/9999,Technique Leader
Yechezkel,Maginnis,1/17/1965,12/11/1992,1/1/9999,Senior Staff
Insup,Reinhard,1/11/1965,4/8/1985,1/1/9999,Senior Staff
Almudena,Rijckaert,1/28/1965,2/16/1994,1/1/9999,Engineer
Huan,Olivero,1/27/1965,11/19/1999,1/1/9999,Staff
Adel,Foote,1/17/1965,3/20/2000,1/1/9999,Staff
Miomir,Frezza,1/12/1965,5/25/1991,1/1/9999,Technique Leader
Uno,Suppi,1/9/1965,12/27/1996,1/1/9999,Staff
Vishv,Angelov,1/10/1965,3/8/1988,1/1/9999,Senior Staff
Minghong,Cronin,1/9/1965,10/4/1987,1/1/9999,Senior Staff
Tadahiko,Pocchiola,1/11/1965,4/2/1996,1/1/9999,Staff
Abdulla,Kitai,1/13/1965,2/20/1987,1/1/9999,Senior Staff
Susumu,Brender,1/1/1965,4/17/1993,1/1/9999,Engineer
Vesna,Fairtlough,1/8/1965,5/7/2002,1/1/9999,Engineer
Sugwoo,Michaels,1/4/1965,8/2/1992,1/1/9999,Engineer
Arunas,Bugrara,1/15/1965,4/3/1997,1/1/9999,Assistant Engineer
Bilhanan,Dusink,1/23/1965,6/4/1988,1/1/9999,Senior Staff
Oscal,Ernst,1/30/1965,5/19/1992,1/1/9999,Senior Staff
Mizuhito,Kobara,2/1/1965,8/9/1996,1/1/9999,Senior Staff
TRUE,Tischendorf,1/24/1965,1/19/1986,1/1/9999,Engineer
Kolar,Greenaway,1/23/1965,11/14/1998,1/1/9999,Staff
Mack,Staylopatis,1/14/1965,4/2/1985,1/1/9999,Engineer
Temple,Cyre,1/2/1965,9/30/1992,1/1/9999,Senior Staff
Francesca,Chorvat,1/6/1965,3/17/1992,1/1/9999,Senior Staff
Cedric,Molenaar,1/23/1965,10/6/1990,1/1/9999,Engineer
Jagoda,Anguita,1/15/1965,5/11/1993,1/1/9999,Senior Engineer
Uri,Lampe,1/29/1965,12/11/2001,1/1/9999,Senior Staff
Emran,Miara,1/18/1965,5/2/1989,1/1/9999,Engineer
Atilio,Olivero,1/28/1965,9/4/1985,1/1/9999,Engineer
Limsoon,Boudaillier,1/30/1965,8/8/1999,1/1/9999,Senior Engineer
Bluma,Fetvedt,1/11/1965,11/14/2001,1/1/9999,Senior Staff
Herb,Murrill,1/9/1965,10/28/2001,1/1/9999,Senior Engineer
Tomokazu,Pargas,1/12/1965,11/15/1996,1/1/9999,Assistant Engineer
Richara,Sudkamp,1/5/1965,9/5/1989,1/1/9999,Senior Staff
Bingning,Iisaku,1/8/1965,6/26/1989,1/1/9999,Senior Staff
Kazuyasu,Levergood,1/11/1965,2/10/1996,1/1/9999,Engineer
Bowen,Deverell,1/2/1965,12/27/1998,1/1/9999,Senior Staff
Kazunori,Perz,2/1/1965,2/25/1999,1/1/9999,Senior Engineer
Abdulah,Lodder,1/4/1965,11/10/1996,1/1/9999,Senior Staff
